EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
44Y-000000006058;44Y-000000006058;Kosolankankaan siirtoverkko;;44X-00000000252T;Active;;;;Metering Grid Area;Y
44Y-000000006066;44Y-000000006066;Kosolankankaan tuulipuisto;;44X-00000000252T;Active;;;;Metering Grid Area;Y
44Y-000000006074;44Y-000000006074;Iso-Kortenevan tuulipuisto;;44X-00000000252T;Active;;;;Metering Grid Area;Y
44Y-000000006082;44Y-000000006082;Lestijärven sähköverkko;;44X-00000000262Q;Active;;;;Metering Grid Area;Y
10YDK1-DE-10010E;TTG-VBZ-DK1;TTG–DK1 Virtual Bidding Zone on TTG side (advanced hybrid coupling);;10XDE-EON-NETZ-C;Active;;;;Border Area;Y
44Y-000000006090;KVSO00;Lakarin aurinkopuisto;;44X-00000000101D;Active;;;;Metering Grid Area;Y
44Y-00000000610F;HVSSOL1;Hirvensalmi Solarigon aurinkovoimala;;44X-000000002116;Active;;;;Metering Grid Area;Y
44Y-00000000611D;44Y-00000000611D;Ii Isokangas wind farm;;44X-00000000268E;Active;;;;Metering Grid Area;Y
44Y-00000000612B;44Y-00000000612B;Ii Palokangas wind farm;;44X-00000000268E;Active;;;;Metering Grid Area;Y
44Y-000000006139;44Y-000000006139;Simo Halmekankaan liittymisjohto;;44X-00000000268E;Active;;;;Metering Grid Area;Y
44Y-000000006147;44Y-000000006147;Oosinselän tuulipuisto 1;;44X-00000000160Y;Active;;;;Metering Grid Area;Y
44Y-000000006163;44Y-000000006163;Lohjan aurinkopuisto;;44X-00000000039T;Active;;;;Metering Grid Area;Y
65YBG-KSMEXPORT2;KSMEXPORT-IMPORT;BG-KSM Export-Import LLC;;;Active;;;;Balance Group;Y
44Y-000000006171;44Y-000000006171;Vaajakosken tuotantoverkko;;44X-00000000274J;Active;;;;Metering Grid Area;Y
44Y-00000000619Y;44Y-00000000619Y;Karhukankaan ja Navettakankaan tuulipuisto 1;;44X-00000000163S;Active;;;;Metering Grid Area;Y
46Y000000000020U;METER_GRID_A_ST4;Metering Grid Area ST4;;;Active;;;;Metering Grid Area;Y
10YFI-4--------0;FIMULTIAREA;FI Multiarea;;;Active;;;;Scheduling Area;Y
44Y-00000000620C;MAAS01;Maaselänkankaan tuulipuisto;;44X-00000000277D;Active;;;;Metering Grid Area;Y
44Y-00000000621A;PKV001;Paneliankosken diesel-voimalat;;44X-000000000431;Active;;;;Metering Grid Area;Y
10YDE-SE4-VBZ-01;TTG-VBZ-SE4;TTG–SE4 Virtual Bidding Zone on TTG side (advanced hybrid coupling);;10XDE-EON-NETZ-C;Active;;;;Border Area;Y
44Y-000000006228;44Y-000000006228;Kuhmoinen BESS;;44X-00000000219R;Active;;;;Metering Grid Area;Y
44Y-000000006236;44Y-000000006236;Storböttet wind farm;;44X-000000002302;Active;;;;Metering Grid Area;Y
44Y-000000006244;44Y-000000006244;Lumivaaran Rauhalan tuulipuisto;;44X-000000002302;Active;;;;Metering Grid Area;Y
44Y-000000006252;VATA02;Vatajankosken vesivoimalaitos;;44X-00000000135X;Active;;;;Metering Grid Area;Y
44Y-000000006260;MAR000;Martinlaakson voimalaitos;;44X-000000000172;Active;;;;Metering Grid Area;Y
44Y-00000000627Z;JV1000;Vantaan Jätevoimala;;44X-000000000172;Active;;;;Metering Grid Area;Y
14YEVN-AG-DL001V;EVN-AG-DIENSTL-1;EVN-AG-DIENSTLEISTUNG-001;;14XEVN-AG0000001;Active;;;;Balance Group;Y
44Y-00000000629V;44Y-00000000629V;Kitusenkulman aurinkopuisto;;44X-000000001306;Active;;;;Metering Grid Area;Y
44Y-00000000628X;44Y-00000000628X;Sahanmäen voimalaitosverkko;;44X-00000000147Q;Active;;;;Metering Grid Area;Y
22Y20240708----O;BE_CORE_AHC;CORE-AHC borders;;22XCORESO------S;Active;;;;Scheduling Area;Y
